ra,dec,source_id,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,astrometric_sigma5d_max,astrometric_excess_noise,visibility_periods_used,astrometric_matched_observations,astrometric_n_good_obs_al,astrometric_sigma5d_max,bp_rp,g_rp,source_id,original_ext_source_id,tmass_oid,number_of_neighbours,number_of_mates,best_neighbour_multiplicity,tmass_oid,designation,ra,dec,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,j_date,source_id,original_ext_source_id,sdssdr9_oid,number_of_neighbours,number_of_mates,best_neighbour_multiplicity,sdssdr9_oid,obj_id,ra,dec,mjd,r_mag,r_mag_error,i_mag,i_mag_error,z_mag,z_mag_error,objc_type,source_id,original_ext_source_id,allwise_oid,number_of_neighbours,number_of_mates,best_neighbour_multiplicity,allwise_oid,designation,ra,dec,w1mpro,w1mpro_error,w2mpro,w2mpro_error,w3mpro,w3mpro_error,cc_flags,w1mjd_mean,w2mjd_mean,w3mjd_mean,tmass_key
189.33967151763954,-20.878371445607886,3515253160648329088,41.830170051252146,0.06715242024668674,-40.20590493033845,0.11763592234676745,-427.7976615015682,0.07043922065165842,11.965994,0.070739485,0.1908022872594901,13,36,314,0.070739485,2.8074026,1.217946,3515253160648329088,12372157-2052349,219417642,1,0,1,219417642,12372157-2052349,189.339881,-20.876379,8.972,0.024,8.322,0.02,8.085,0.024,2450928.7125,3515253160648329088,1237671765314240642,1333818,1,0,1,1333818,1237671765314240642,189.33975284894498,-20.877285678110972,53856.0,12.695828,5.3066306E-4,11.227735,6.424503E-4,11.549473,7.519521E-4,6,3515253160648329088,J123721.53-205240.1,259760728,1,0,1,259760728,J123721.53-205240.1,189.3397306,-20.8778058,7.904,0.027,7.805,0.021,7.703,0.02,0000,55368.74371853,55472.35824318,55367.79445348,
23.94084393729779,-20.77062167281316,5138982181310063872,38.151069605824446,0.03248368656432129,129.27157505403505,0.05745566856826111,-25.484420398532613,0.03720674586527336,9.5703745,0.04208997,0.0,16,55,477,0.04208997,1.5759516,0.81532,5138982181310063872,01354565-2046139,219854004,1,0,1,219854004,01354565-2046139,23.940222,-20.770538,7.734,0.029,7.074,0.036,6.954,0.023,2451380.9368,5138982181310063872,1237673699660595270,1424079,1,0,1,1424079,1237673699660595270,23.940470689025247,-20.770579877750496,54057.0,9.563383,1.0286137E-4,9.104893,1.0608721E-4,9.647003,2.5372845E-4,6,5138982181310063872,J013545.75-204614.1,260404481,1,0,1,260404481,J013545.75-204614.1,23.9406482,-20.7705995,6.851,0.063,6.879,0.018,6.849,0.016,0000,55383.55712656,55383.55712656,55384.05461237,508757862
216.06719153131115,-20.752080378981947,6282859309425495680,35.234153932372244,0.05251350957262209,-29.7216995434392,0.09599166706531943,-563.4396391111377,0.0762251780938964,12.183726,0.060955875,0.0,9,12,103,0.060955875,2.2495708,1.0679979,6282859309425495680,14241616-2044578,219941762,1,0,1,219941762,14241616-2044578,216.067335,-20.749393,9.707,0.022,9.201,0.023,8.96,0.021,2450920.8236,6282859309425495680,1237671991889100803,1442569,1,0,1,1442569,1237671991889100803,216.06725928963078,-20.75062975392017,53881.0,12.584985,4.3020785E-4,11.55492,2.816235E-4,11.011705,0.0138950655,6,6282859309425495680,J142416.13-204504.6,260520943,1,0,1,260520943,J142416.13-204504.6,216.0672326,-20.7513035,8.831,0.022,8.635,0.02,8.578,0.025,0000,55397.54837376,55397.54837376,55316.19643973,
45.46247805566359,-16.594495614724412,5153091836072107136,145.54664812904232,0.08000579922969708,-369.19580367119454,0.14019262799177687,-268.51020180447443,0.1468535640142612,10.046943,0.0838158,0.1557430924773243,8,11,91,0.0838158,2.591384,1.1374092,5153091836072107136,03015142-1635356,236482881,1,0,1,236482881,03015142-1635356,45.464277,-16.593239,7.294,0.024,6.774,0.038,6.496,0.021,2451052.8754,5153091836072107136,1237667244333596683,6635870,1,0,1,6635870,1237667244333596683,45.4635732976348,-16.593752216235,53354.0,10.613617,0.001544624,9.349719,0.0010293059,10.669458,0.014104519,6,5153091836072107136,J030151.13-163538.9,285526197,1,0,1,285526197,J030151.13-163538.9,45.4630621,-16.5941646,6.405,0.342,6.149,0.107,6.106,0.023,hhd0,55305.10591145,55305.10591145,55331.42944492,
211.32745094264558,-12.600018986225733,6302708689761652096,41.99268165996933,0.04748673668610682,83.5628326107277,0.08440373777311415,92.6086614363152,0.08418385417829623,11.721156,0.06051095,0.07852602970537013,10,15,130,0.06051095,2.2949333,1.0788832,6302708689761652096,14051848-1236017,251146275,1,0,1,251146275,14051848-1236017,211.327018,-12.600474,9.217,0.023,8.594,0.034,8.385,0.022,2450899.8544,6302708689761652096,1237671956988821567,13610332,1,0,1,13610332,1237671956988821567,211.32718274926546,-12.600259438717755,53880.0,12.059044,3.0755144E-4,11.023256,2.1616564E-4,10.765131,4.6002393E-4,6,6302708689761652096,J140518.56-123600.5,309580482,1,0,1,309580482,J140518.56-123600.5,211.3273348,-12.6001518,8.262,0.023,8.125,0.021,8.023,0.019,0000,55395.95286122,55395.95286122,55305.97428216,1249602695
169.09150111135176,-14.69389565684966,3561574971346845440,54.730993988472484,0.08468794655857144,-174.24820899364119,0.08376652056093245,-120.61798813433637,0.071393531847528,9.328498,0.05677731,0.0,8,14,121,0.05677731,1.803956,0.90351486,3561574971346845440,11162217-1441359,243588628,1,0,1,243588628,11162217-1441359,169.092387,-14.693313,7.281,0.021,6.651,0.033,6.456,0.026,2450906.7089,3561574971346845440,1237671139863298081,9370307,1,0,1,9370307,1237671139863298081,169.0919864828645,-14.69360422475493,53742.0,9.400857,8.936147E-5,8.791753,8.6297325E-5,9.54762,2.3090218E-4,6,3561574971346845440,J111622.02-144137.3,296959240,1,0,1,296959240,J111622.02-144137.3,169.0917683,-14.6937107,6.32,0.09,6.219,0.025,6.29,0.015,0000,55358.61149031,55358.61149031,55358.60814866,1237778388
33.07149353318561,-10.60831520000862,5151948893734911744,41.42361486318065,0.15071635722897286,-35.655469073755754,0.2844963491698752,28.22753590388796,0.22181178166065074,16.900652,0.25698036,0.7544002852324873,10,16,142,0.25698036,4.8395033,1.537261,5151948893734911744,02121719-1036304,258142700,1,0,1,258142700,02121719-1036304,33.071658,-10.608447,12.756,0.024,12.201,0.027,11.827,0.028,2451160.5322,5151948893734911744,1237673702350782616,17921508,1,0,1,17921508,1237673702350782616,33.07157557572153,-10.608395953975789,54057.0,19.21518,0.028505018,16.298267,0.015264981,14.796725,0.0150647005,6,5151948893734911744,J021217.16-103630.0,321540479,1,0,1,321540479,J021217.16-103630.0,33.0715153,-10.6083609,11.582,0.023,11.36,0.021,11.194,0.105,0000,55441.72058909,55444.57481602,55315.51931685,191594811
11.82407428294967,-6.478606509583609,2523756288171059328,35.66887986932827,0.08519611441466482,-200.49594364331273,0.15279827927307105,-295.84106712399023,0.08663023237829577,12.914367,0.093327776,0.22223759287116746,12,40,348,0.093327776,2.7106085,1.1981316,2523756288171059328,00471801-0628378,272199918,1,0,1,272199918,00471801-0628378,11.825045,-6.477194,10.071,0.029,9.495,0.024,9.205,0.024,2451088.7376,2523756288171059328,1237680243603013816,31924017,1,0,1,31924017,1237680243603013816,11.82438472213967,-6.47815005252507,55119.0,13.544705,0.020872647,15.128852,0.021389123,11.433704,0.015912198,6,2523756288171059328,J004717.83-062841.5,346298850,1,0,1,346298850,J004717.83-062841.5,11.8243289,-6.4782058,9.048,0.023,8.903,0.02,8.756,0.033,0h00,55457.92175849,55457.92175849,55376.47515374,
357.63461589347764,-9.560905148600039,2435125446129139712,58.968701351750894,0.11690815066488815,634.6508438923214,0.14167008418675026,-425.9841518358571,0.10069129651866184,12.006996,0.079959765,0.15054364016831778,8,15,129,0.079959765,2.8997822,1.2380896,2435125446129139712,23503159-0933320,261771478,1,0,1,261771478,23503159-0933320,357.631626,-9.558906,8.943,0.039,8.386,0.059,8.043,0.024,2451105.5538,2435125446129139712,1237653441914142795,20904764,1,0,1,20904764,1237653441914142795,357.631974771377,-9.559211661331677,51865.0,14.380063,0.07851699,12.955204,0.0048107654,10.514348,0.0024894858,6,2435125446129139712,J235032.10-093337.1,327833158,1,0,1,327833158,J235032.10-093337.1,357.6337551,-9.5603203,7.898,0.026,7.77,0.02,7.653,0.02,0000,55362.70833599,55455.32404563,55362.70833599,
250.9822148423217,-7.436853438266968,4340652352028353280,35.95782664248816,0.04651088623346839,-188.95100922446255,0.0973740188865679,-160.47504520317952,0.05116122465213803,10.882232,0.06513446,0.0,14,38,324,0.06513446,2.0843601,1.0042276,4340652352028353280,16435594-0726099,268993896,1,0,1,268993896,16435594-0726099,250.98309,-7.436098,8.539,0.019,7.977,0.051,7.713,0.02,2451278.8651,4340652352028353280,1237668598850650389,27942308,1,0,1,27942308,1237668598850650389,250.98271956464038,-7.436437038991223,53526.0,11.144034,2.1337678E-4,10.256208,1.9466424E-4,11.406353,8.5111725E-4,6,4340652352028353280,J164355.79-072611.7,340550217,1,0,1,340550217,J164355.79-072611.7,250.9824847,-7.4366039,7.627,0.032,7.545,0.022,7.481,0.019,0000,55342.95610612,55342.95610612,55255.79019978,368137294
