NAME,PER,RA,DEC,STAR,MSTAR,TEFF,DIST
Kepler-107 d,7.958203,19.80188055555026,48.20861111111111,Kepler-107,,5851,
Kepler-1049 b,3.27346074,19.15644999980926,47.7729444445504,Kepler-1049,0.51,3864,129
Kepler-813 b,19.12947337,19.04418055534363,48.43536111116409,Kepler-813,0.95,5743,840
Kepler-427 b,10.290994,19.21697194443809,43.70486111111111,Kepler-427,0.96,5800,1100
Kepler-1056 b,27.495606,19.96839999993642,46.89924999978807,Kepler-1056,1.12,6127,971
Kepler-1165 b,9.478522,19.13141666624281,44.70830555544959,Kepler-1165,1.13,6080,1081
Kepler-1104 b,5.03728015,19.63123611132304,49.33102777798971,Kepler-1104,1.3,6417,516
WASP-14 b,2.243752,14.55176527778308,21.8946944448683,WASP-14,1.31,6475,160
Kepler-50 b,7.8125124,19.20672694418165,50.03372222221559,Kepler-50,1.23,6058,
NN Ser d,2605,15.88225861125522,12.91238888846503,NN Ser,,,
Kepler-1279 b,23.4774101,19.20637500021193,40.36597222222223,Kepler-1279,1.21,6221,1017
Kepler-1599 b,122.363553,19.08139166620042,41.15125,Kepler-1599,0.99,5767,1004
Kepler-20 b,3.6961219,19.17986777729458,42.33869444423252,Kepler-20,0.912,5466,290
HAT-P-27 b,3.039577,14.85116361114714,5.947361111111111,HAT-P-27,0.92,5190,204
Kepler-181 b,3.137873,19.7434305551317,50.09581111060249,Kepler-181,,5333,
HD 116029 b,670,13.34431944423252,24.64882500012716,HD 116029,1.33,4811,123.198
Kepler-207 b,1.611865,19.33536944442325,42.16604999966091,Kepler-207,,5920,
Kepler-1156 b,11.89520511,19.26160277790493,46.05763888888889,Kepler-1156,1,5778,759
Kepler-1512 b,20.35972599,19.28496666669846,44.47024999989404,Kepler-1512,0.73,4372,162
Kepler-787 b,0.9283105,19.44616388850742,38.57291666666667,Kepler-787,0.65,4248,468
Kepler-528 b,19.78297415,19.71232222239176,47.74808333290948,Kepler-528,1.01,5807,711
HD 219828 b,3.8334999,23.31298333379958,18.64571388880412,HD 219828,1.24,5891,72.3066
Kepler-480 b,4.9195838,19.63092777782017,49.76505555576748,Kepler-480,1.25,6322,806
Kepler-1567 b,153.979578,19.11301388846503,40.29180555555556,Kepler-1567,0.95,5655,1226
Kepler-1390 b,6.48021673,19.91082222196791,48.24877777735392,Kepler-1390,0.98,5753,760
Kepler-1642 b,12.2057513,19.81414444393582,43.64372222264608,Kepler-1642,0.88,5355,447
Kepler-11 c,13.0241,19.80767277770572,41.90911111089918,Kepler-11,0.961,5663,
Kepler-871 b,22.0459018,19.63514166673025,43.36816666669316,Kepler-871,1.11,5993,1695
Kepler-1131 b,3.53232449,19.71010000016954,49.26130555576749,Kepler-1131,1.03,5851,1109
Kepler-705 b,56.0560538,19.30056666665607,41.81211111068725,Kepler-705,0.53,3722,251
HD 1237 b,133.71001,0.2697888888253106,-79.85104166666666,HD 1237,0.9,5536,17.4978
WASP-21 b,4.322482,23.16618166711595,18.39605555534363,WASP-21,1.01,5800,242.131
Kepler-284 c,37.514456,19.54309999995762,47.72965000046624,Kepler-284,,5615,
Kepler-186 c,7.267302,19.91018055597941,43.95501944435968,Kepler-186,0.478,3788,151
HD 4308 b,15.56,0.7441777780320908,-65.64771666632758,HD 4308,0.933,5695,22.0556
Kepler-239 b,11.763051,19.61348055521647,40.66341111077202,Kepler-239,,4914,
Kepler-651 b,21.38521506,19.15551944467756,46.20350000010597,Kepler-651,0.92,5522,537
Kepler-80 f,0.98678706,19.74083888901605,39.97877777735393,Kepler-80,0.72,4613,0
Kepler-1217 b,2.03232507,19.27911111089918,50.93755555550257,Kepler-1217,1.06,5905,1363
Kepler-895 b,2.80624233,19.28604444450803,51.40888888888889,Kepler-895,0.65,4315,516
Kepler-628 b,15.4580567,19.36328333324856,39.85480555534363,Kepler-628,1,5721,579
Kepler-174 b,13.98179,19.16261111153496,43.83208888901605,Kepler-174,,4880,
Kepler-440 b,101.11141,19.02333055549198,41.45219444447094,Kepler-440,0.575,4134,261
Kepler-403 d,13.61159129,19.32809722264608,46.74455555597941,Kepler-403,0,6090,0
Kepler-224 d,11.349393,19.39561944431729,47.35760000016954,Kepler-224,,5018,
